Year,Battery_Capacity_kWh,Battery_Health_%,Range_km,Charging_Power_kW,Charging_Time_hr,Charge_Cycles,Energy_Consumption_kWh_per_100km,Mileage_km,Avg_Speed_kmh,Max_Speed_kmh,Acceleration_0_100_kmh_sec,Temperature_C,CO2_Saved_tons,Maintenance_Cost_USD,Insurance_Cost_USD,Electricity_Cost_USD_per_kWh,Monthly_Charging_Cost_USD,Resale_Value_USD,Make_BMW,Make_Chevrolet,Make_Ford,Make_Hyundai,Make_Kia,Make_Mercedes,Make_Nissan,Make_Tesla,Make_Volkswagen,Region_Australia,Region_Europe,Region_North America,Vehicle_Type_SUV,Vehicle_Type_Sedan,Vehicle_Type_Truck,Usage_Type_Fleet,Usage_Type_Personal
2020,33.0,80.4,173,173.7,0.23,929,24.81,223527,71.5,184,8.45,1.9,26.82,966,793,0.18,831.86,17073,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False
2018,118.5,82.0,667,201.8,0.8,386,14.42,20708,90.1,188,4.93,25.6,2.48,1734,646,0.17,42.3,32442,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
2021,45.7,90.7,218,234.9,0.26,672,14.72,26918,91.4,228,4.99,-1.3,3.23,823,1516,0.22,72.64,14402,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
2015,51.8,72.8,300,226.2,0.27,208,15.63,178714,80.8,132,9.07,10.2,21.45,1896,2443,0.31,721.6,17006,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
2015,44.5,97.0,231,13.2,4.65,298,24.66,204569,41.3,211,6.66,12.4,24.55,1156,2204,0.13,546.51,14658,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False
2018,51.4,79.8,282,166.3,0.34,600,16.0,206163,65.6,215,5.22,2.2,24.74,237,729,0.19,522.28,18378,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False
2020,111.5,83.0,524,165.2,0.78,1704,14.54,176836,64.9,133,3.66,22.3,21.22,216,1695,0.33,707.08,28596,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2019,109.5,92.4,646,90.0,1.45,806,24.53,190312,35.3,214,4.74,3.4,22.84,1546,627,0.18,700.25,26798,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True
2024,114.3,90.9,587,34.2,3.91,1053,16.66,61958,66.3,131,5.6,32.4,7.43,1616,2334,0.27,232.25,29880,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2021,56.4,94.3,316,218.2,0.28,1729,12.07,115627,85.9,194,3.96,9.8,13.88,853,1471,0.32,372.16,16374,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False
2016,38.5,87.3,156,122.3,0.38,1348,22.91,232897,32.1,181,3.75,5.2,27.95,1202,943,0.17,755.89,13761,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2022,99.3,76.5,520,31.4,4.44,1083,17.35,216810,74.6,181,4.36,38.5,26.02,1329,2193,0.09,282.12,26823,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False
2022,54.4,83.2,226,17.1,3.38,990,17.57,105235,58.6,187,9.45,12.1,12.63,1319,2161,0.11,169.49,19443,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
2023,89.4,78.4,528,187.4,0.57,989,21.49,209738,47.3,145,4.53,-4.0,25.17,1508,2497,0.1,375.61,24039,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
2015,58.0,99.4,252,15.1,4.31,540,18.16,198824,62.5,230,6.09,20.8,23.86,1323,1301,0.15,451.33,15573,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
2024,86.3,85.1,493,168.4,0.69,991,24.27,167049,31.9,161,9.61,18.8,20.05,889,2198,0.25,844.64,28123,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
2015,103.0,94.6,540,207.1,0.58,1266,14.55,113940,45.0,175,3.62,-5.3,13.67,234,1226,0.1,138.15,26922,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2022,64.7,90.4,302,73.3,1.07,1025,21.06,162164,95.6,249,8.28,30.2,19.46,960,1175,0.13,369.98,20993,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False
2023,81.2,87.3,443,41.5,2.57,295,16.43,143429,69.3,141,6.29,27.5,17.21,416,1366,0.11,216.02,24270,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True
2015,78.1,84.9,373,82.1,1.31,1835,12.14,209008,89.3,138,5.58,37.5,25.08,1607,2087,0.23,486.33,22157,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
2019,38.3,88.1,195,61.8,0.66,1367,22.27,89076,95.2,187,3.87,17.5,10.69,1356,1686,0.32,528.99,16829,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False
2016,117.2,90.6,664,218.2,0.59,1397,21.11,44081,57.8,156,8.09,-5.9,5.29,1388,1945,0.35,271.41,26520,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False
2015,109.2,77.1,635,152.5,0.91,1475,13.09,208196,56.5,168,6.26,35.3,24.98,238,1649,0.21,476.92,28257,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2016,72.2,71.7,305,39.1,2.14,1224,20.85,85219,97.4,192,6.61,-5.9,10.23,1128,1433,0.2,296.14,20274,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2024,31.1,99.1,127,224.0,0.17,402,23.95,96362,78.7,186,6.9,21.5,11.56,1749,1666,0.2,384.64,16189,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
2019,92.7,81.5,507,229.7,0.43,983,23.57,130899,37.5,246,5.3,-0.6,15.71,289,2171,0.18,462.79,25838,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True
2016,53.9,80.8,243,119.3,0.64,1424,16.02,62043,72.2,241,4.56,35.5,7.45,1476,889,0.34,281.61,17673,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True
2019,85.2,82.5,499,218.0,0.55,1342,17.35,66813,86.7,225,9.9,8.8,8.02,1505,562,0.19,183.54,24829,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2015,105.4,84.1,509,76.3,1.93,717,20.99,196172,100.0,231,9.44,19.3,23.54,1788,1176,0.28,960.79,28422,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True
2017,52.3,83.5,222,239.0,0.26,1669,23.42,181615,73.3,221,5.25,-8.9,21.79,449,1173,0.21,744.35,16789,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True
2017,76.8,95.6,391,145.1,0.58,600,13.74,155830,59.4,230,7.53,25.2,18.7,634,602,0.12,214.11,19708,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2016,61.6,87.7,294,115.6,0.58,1531,19.12,192872,84.9,159,7.54,33.1,23.14,332,1296,0.12,368.77,17156,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
2022,105.8,93.1,437,22.0,5.62,1673,16.27,172658,70.6,204,3.99,-3.6,20.72,1406,1347,0.12,280.91,28443,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False
2020,92.8,75.4,500,109.4,0.92,866,20.68,80697,72.1,180,3.77,-1.6,9.68,803,1181,0.13,180.79,27845,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True
2019,79.4,86.0,374,224.7,0.48,1953,20.98,28624,36.5,176,7.58,-5.9,3.43,549,606,0.33,165.15,20441,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True
2015,54.9,94.2,301,55.1,1.32,838,24.01,144789,73.3,216,6.95,26.0,17.37,865,1025,0.12,347.64,17646,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
2017,94.2,96.9,473,138.2,0.94,1729,16.6,39674,47.0,218,8.29,-0.9,4.76,1262,2476,0.31,170.14,26621,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
2020,59.5,73.6,343,152.9,0.45,266,20.43,129049,36.1,240,8.29,17.9,15.49,1592,1247,0.11,241.68,22267,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
2023,60.4,97.0,314,69.4,1.06,1964,24.14,121148,37.1,199,5.87,14.4,14.54,1573,1342,0.1,243.71,23582,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2022,110.7,72.4,558,109.1,1.07,1446,23.66,46427,97.9,133,3.53,38.8,5.57,1829,1003,0.28,256.31,31394,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
2023,94.7,86.1,469,211.4,0.6,1633,16.21,96922,44.0,149,5.08,-4.3,11.63,289,1153,0.16,209.48,27112,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False
2019,75.5,98.0,350,152.9,0.62,209,19.13,145937,99.3,142,7.95,-5.6,17.51,1542,2136,0.08,186.12,21434,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
2023,83.6,84.1,403,94.4,0.95,517,21.7,47929,38.7,249,9.94,0.3,5.75,1770,1012,0.28,242.68,27263,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
2020,34.3,93.4,193,190.4,0.2,1514,14.14,155354,76.6,155,9.4,5.8,18.64,1265,588,0.26,475.95,12236,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True
2022,69.5,81.3,342,83.0,0.94,342,19.51,72728,93.0,248,6.96,-6.7,8.73,303,2470,0.23,271.96,21125,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
2020,114.6,88.8,535,44.3,2.88,1892,18.44,30053,92.6,165,9.99,27.6,3.61,1220,1496,0.29,133.93,27836,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,33.0,87.1,182,220.5,0.19,1005,18.97,165558,89.3,217,7.43,15.1,19.87,1871,1784,0.21,549.61,11332,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
2018,95.0,91.6,501,176.9,0.64,1506,16.49,82834,97.1,233,7.29,10.0,9.94,1014,845,0.34,387.01,26119,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
2024,82.8,85.2,432,15.3,5.89,1683,13.33,216951,78.8,249,3.65,22.6,26.03,1208,1103,0.18,433.79,28720,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True
2023,68.2,92.1,400,232.2,0.36,1013,15.07,237793,88.7,183,8.94,6.6,28.54,766,870,0.24,716.71,24166,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False
2019,64.1,92.3,282,199.3,0.38,774,17.39,236001,94.4,131,6.53,14.0,28.32,546,2052,0.24,820.81,19807,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2017,52.3,87.3,226,19.1,3.52,484,19.55,9757,45.4,243,7.81,-1.1,1.17,1307,1884,0.12,19.07,14302,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False
2020,107.5,86.1,469,82.6,1.67,1189,21.75,29442,86.0,191,4.83,-0.5,3.53,628,2000,0.21,112.06,27450,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True
2022,82.9,78.8,449,137.1,0.73,1336,17.21,43565,83.6,133,4.68,33.1,5.23,1866,1299,0.15,93.72,27567,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
2017,88.0,82.3,356,48.3,2.07,1572,17.3,115904,45.5,217,4.77,15.3,13.91,527,1577,0.17,284.06,20917,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False
2019,46.1,89.6,206,34.8,1.74,1301,19.84,118453,88.1,197,9.64,-2.9,14.21,1109,1234,0.17,332.93,15720,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2016,31.2,72.6,137,17.3,2.42,1771,20.36,123865,92.5,176,7.56,6.8,14.86,1222,1909,0.18,378.28,11429,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False
2021,54.1,88.7,260,142.9,0.47,1139,14.85,245469,84.6,210,9.15,14.4,29.46,1950,627,0.13,394.9,19993,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False
2016,32.0,78.1,162,162.4,0.26,1981,20.39,56693,98.9,187,9.35,24.6,6.8,1004,574,0.3,288.99,10362,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False
2019,103.4,84.9,427,107.9,1.16,787,14.68,45809,39.8,156,9.35,33.7,5.5,367,1109,0.24,134.5,28239,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False
2023,74.5,87.2,422,107.6,0.78,1781,12.61,106371,97.1,194,4.04,20.2,12.76,993,528,0.19,212.38,25623,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2022,69.3,97.5,377,156.9,0.47,254,20.63,9853,39.5,185,4.9,-8.4,1.18,1371,1990,0.24,40.65,23619,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
2015,74.7,87.9,348,195.2,0.53,912,16.57,59912,64.7,172,7.39,13.0,7.19,330,2021,0.3,248.19,22381,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2017,54.5,87.7,257,32.9,1.78,1156,22.27,41408,61.2,176,4.06,37.9,4.97,538,2299,0.25,192.12,16433,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False
2015,89.3,90.8,508,70.7,1.54,1878,21.01,95600,96.1,176,3.79,19.4,11.47,600,2442,0.23,384.97,20902,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False
2020,112.4,71.0,606,82.1,1.47,1721,17.48,235876,63.2,223,3.86,12.8,28.31,1666,2013,0.25,858.98,31642,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False
2022,50.7,73.6,210,177.4,0.36,382,17.26,177070,52.1,242,7.0,23.1,21.25,1620,1221,0.22,560.31,17361,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
2024,108.9,82.5,536,247.7,0.63,1364,16.99,149991,85.9,168,3.56,-7.4,18.0,676,817,0.21,445.96,33814,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
2023,82.3,78.2,394,32.9,3.19,539,21.59,37733,30.2,174,5.81,4.4,4.53,523,645,0.14,95.04,26682,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False
2023,55.0,97.3,224,37.2,1.85,1163,14.84,48001,85.9,230,4.08,10.9,5.76,1663,1842,0.34,201.83,19542,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False
2016,45.0,99.7,200,236.3,0.22,1084,22.8,170229,46.1,227,6.0,-8.2,20.43,705,758,0.3,970.31,13505,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True
2019,35.2,99.1,203,232.7,0.16,1796,15.38,220458,83.1,191,9.98,34.9,26.45,1962,1280,0.14,395.58,15755,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
2023,83.4,87.4,348,220.7,0.49,1187,18.2,22602,96.9,205,3.73,6.5,2.71,1760,1784,0.28,95.98,23888,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
2016,66.8,81.2,301,183.9,0.44,653,24.51,145975,77.8,198,9.94,-6.9,17.52,1524,723,0.22,655.94,21560,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True
2017,104.2,80.4,558,146.2,0.93,1485,18.78,24623,47.2,188,9.14,25.4,2.95,562,1056,0.27,104.04,27579,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True
2024,39.5,91.0,172,221.7,0.19,960,12.38,52638,30.4,161,5.68,27.2,6.32,281,855,0.23,124.9,20292,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2021,47.4,72.5,220,144.8,0.45,1065,20.24,36575,87.3,241,4.2,28.1,4.39,785,1756,0.34,209.75,18368,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False
2019,39.2,98.1,210,27.2,1.86,1240,22.02,68888,70.8,194,3.88,-6.3,8.27,409,805,0.35,442.43,15809,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False
2018,88.3,87.8,420,26.7,3.65,1078,18.35,98106,47.7,216,6.4,3.7,11.77,1508,1015,0.2,300.04,23500,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False
2023,44.7,93.8,240,63.8,0.97,1173,14.99,213330,49.1,210,9.76,-8.4,25.6,1188,520,0.33,879.4,15600,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False
2019,87.5,81.9,397,246.2,0.44,1133,14.99,138052,44.0,242,7.74,8.4,16.57,1494,991,0.21,362.14,22751,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2022,44.3,76.1,185,47.7,1.14,1785,21.89,197860,39.2,182,9.43,38.4,23.74,1115,2081,0.2,721.86,18805,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
2021,41.3,90.6,200,58.9,0.85,925,19.57,54268,71.3,201,5.52,12.8,6.51,271,2312,0.1,88.5,16450,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
2016,73.2,88.0,335,177.1,0.45,301,23.8,186002,63.6,217,4.45,-4.9,22.32,1269,2195,0.08,295.12,20021,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
2020,85.6,91.1,438,13.3,8.23,201,18.95,117360,54.5,162,8.86,7.9,14.08,1326,693,0.34,630.13,23417,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
2024,92.1,94.0,405,51.0,2.49,516,21.18,137997,71.6,202,3.84,17.1,16.56,1593,1215,0.32,779.41,27673,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
2016,86.3,93.5,450,126.8,0.79,407,19.12,164033,84.9,132,3.76,-1.8,19.68,213,1470,0.28,731.81,24135,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False
2021,88.5,84.4,462,89.6,1.21,884,14.37,115198,60.4,161,6.74,17.8,13.82,1113,2246,0.14,193.13,26211,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False
2022,117.7,89.5,517,173.6,0.94,1430,15.35,166099,42.2,214,8.23,27.1,19.93,603,1304,0.17,361.2,32145,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2018,75.4,86.3,379,151.5,0.7,1065,18.33,48585,71.8,165,6.24,3.8,5.83,1594,685,0.33,244.9,21685,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
2017,86.1,88.9,470,42.4,2.31,951,19.82,147633,46.6,207,6.83,10.7,17.72,1204,1052,0.15,365.76,20378,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2022,82.1,89.9,344,166.9,0.63,227,15.36,244614,71.2,205,4.35,38.5,29.35,1526,786,0.14,438.35,22482,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
2017,69.8,79.9,341,171.0,0.55,332,15.23,84530,96.4,186,4.59,-1.6,10.14,1344,1630,0.28,300.39,22049,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True
2019,78.0,93.5,422,117.7,0.72,819,19.02,39707,48.9,131,4.3,1.6,4.76,481,1296,0.25,157.34,20537,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2017,70.7,98.0,327,132.2,0.75,689,17.17,171129,97.6,172,3.61,6.2,20.54,1408,1562,0.2,489.71,18514,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
2016,60.8,86.0,258,42.7,1.93,945,21.53,126863,97.9,130,8.25,-2.2,15.22,1581,1016,0.34,773.89,19400,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True
2016,89.5,99.4,424,15.2,7.74,1761,23.3,233071,83.8,220,9.55,24.5,27.97,1000,1524,0.14,633.56,22024,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False
2019,90.0,87.3,422,49.1,2.15,774,24.7,209456,99.5,142,8.59,18.4,25.13,688,1470,0.32,1379.62,26918,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False
2020,59.4,90.0,333,193.2,0.34,1050,23.3,8712,38.4,183,7.72,6.4,1.05,1288,1599,0.24,40.6,19415,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2019,64.2,86.5,333,141.4,0.56,301,12.95,241386,41.8,207,7.53,13.2,28.97,1226,584,0.31,807.54,17704,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
2016,73.1,70.8,342,101.9,0.9,1516,15.2,51819,72.6,177,7.07,27.3,6.22,563,1390,0.22,144.4,18562,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False
2019,47.6,70.2,252,225.6,0.28,914,16.94,50379,95.4,215,4.76,-1.7,6.05,1163,1507,0.22,156.46,19508,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2017,82.3,72.7,447,106.6,0.82,289,13.58,235662,77.7,203,8.7,-0.8,28.28,1158,811,0.29,773.4,21744,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
2024,112.6,82.7,470,206.0,0.69,1908,20.23,212738,30.2,151,8.82,34.2,25.53,1249,1020,0.25,896.6,29255,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2022,67.0,95.2,388,95.5,0.92,1516,15.93,110111,87.6,189,7.86,30.5,13.21,1114,2199,0.12,175.41,21806,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2021,82.8,75.0,453,217.2,0.51,861,12.31,21014,46.1,200,7.05,1.6,2.52,789,1600,0.24,51.74,21643,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False
2023,118.9,74.1,640,107.6,1.37,1390,21.42,60754,99.4,189,8.82,20.2,7.29,1325,1053,0.32,347.03,33109,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
2018,37.7,96.8,165,88.3,0.56,624,20.02,121492,66.3,131,7.85,-6.5,14.58,359,648,0.15,304.03,11181,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2022,88.6,86.0,411,90.6,1.13,926,16.92,130541,69.0,227,6.4,6.7,15.66,861,2335,0.1,184.06,25213,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
2019,45.8,90.7,201,139.1,0.45,832,22.68,73619,54.3,141,9.88,13.7,8.83,1765,736,0.11,153.05,17668,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
2017,43.7,99.8,255,140.0,0.34,348,13.21,126237,36.2,232,9.12,20.4,15.15,659,2073,0.12,166.76,13799,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
2018,57.3,77.9,270,31.9,1.92,1168,18.63,132810,57.8,152,9.63,33.7,15.94,461,1942,0.29,597.94,19349,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2020,81.0,81.7,405,105.9,0.92,1652,16.95,196703,67.3,207,8.74,29.5,23.6,1147,2049,0.1,277.84,26635,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2019,32.1,74.6,142,239.8,0.16,465,22.69,79520,63.6,162,9.5,14.4,9.54,1333,835,0.29,436.04,12283,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False
2018,75.2,82.0,322,98.8,1.06,1193,18.58,36822,97.4,189,8.55,-3.9,4.42,291,2176,0.33,188.14,22915,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
2018,69.6,73.2,367,62.6,1.3,1283,16.74,208038,34.3,212,4.75,0.6,24.96,581,2302,0.28,812.6,19813,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False
2022,56.8,82.9,246,28.8,2.2,1717,13.31,102359,78.4,226,6.81,39.8,12.28,984,600,0.25,283.83,21562,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True
2018,45.6,89.7,259,184.1,0.28,1926,17.85,187268,54.8,156,6.19,31.4,22.47,1964,1097,0.34,947.11,14130,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
2021,67.5,84.4,272,73.1,1.04,1646,20.05,65428,30.8,243,7.59,-0.1,7.85,372,1171,0.21,229.57,21782,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True
2017,53.9,89.4,269,74.6,0.98,709,13.95,133563,47.0,211,6.59,8.8,16.03,1659,2448,0.2,310.53,18390,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True
2019,116.1,74.0,488,168.4,0.74,1353,17.69,142244,49.6,243,3.75,35.1,17.07,988,1807,0.25,524.23,30629,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False
2016,64.8,83.5,288,223.6,0.36,1396,13.95,35111,99.2,216,7.92,-7.9,4.21,1728,586,0.27,110.2,17895,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
